"# Cumulative DVH Data - Dose in Gy, Volume in cm3"
# Values represent volume of structure receiving >= dose
# Generated from DICOM RT data

GY,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.177289,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.177958,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.178627,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.179296,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.179965,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.180634,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.181303,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.181972,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.182641,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.183310,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.183979,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.184648,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.185317,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.185986,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.186655,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.187324,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.187993,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.188662,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.189331,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.190000,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.190669,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.191338,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.192007,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.192676,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.193345,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.194014,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.194683,10853.7502,2038.6544,7001.8159,44.9097,5.3212,154.6296
0.195352,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.196021,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.196691,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.197360,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.198029,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.198698,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.199367,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.200036,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.200705,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.201374,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.202043,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.202712,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
0.203381,10639.7228,2038.6544,6840.7763,44.9097,5.3212,150.1339
