"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
9215.006447,14.1242,0.0000,14.1242,13.6615,6.0702,0.0000
9256.329346,14.0751,0.0000,14.0751,13.6335,6.0702,0.0000
9297.652245,14.0260,0.0000,14.0260,13.5985,6.0702,0.0000
9338.975143,13.9349,0.0000,13.9349,13.5143,6.0702,0.0000
9380.298042,13.8999,0.0000,13.8999,13.4793,6.0702,0.0000
9421.620941,13.8438,0.0000,13.8438,13.4442,6.0702,0.0000
9462.943840,13.8017,0.0000,13.8017,13.4232,6.0702,0.0000
9504.266739,13.7386,0.0000,13.7386,13.3882,6.0702,0.0000
9545.589638,13.6966,0.0000,13.6966,13.3601,6.0702,0.0000
9586.912537,13.6545,0.0000,13.6545,13.3321,6.0702,0.0000
9628.235435,13.6125,0.0000,13.6125,13.3041,6.0702,0.0000
9669.558334,13.5985,0.0000,13.5985,13.2900,6.0702,0.0000
9710.881233,13.5354,0.0000,13.5354,13.2480,6.0702,0.0000
9752.204132,13.4933,0.0000,13.4933,13.2269,6.0702,0.0000
9793.527031,13.4302,0.0000,13.4302,13.1709,6.0702,0.0000
9834.849930,13.3812,0.0000,13.3812,13.1288,6.0702,0.0000
9876.172829,13.3461,0.0000,13.3461,13.0938,6.0632,0.0000
9917.495728,13.3251,0.0000,13.3251,13.0797,6.0632,0.0000
9958.818626,13.2970,0.0000,13.2970,13.0587,6.0632,0.0000
10000.141525,13.2550,0.0000,13.2550,13.0237,6.0632,0.0000
10041.464424,13.2480,0.0000,13.2480,13.0237,6.0632,0.0000
10082.787323,13.2199,0.0000,13.2199,12.9956,6.0632,0.0000
10124.110222,13.1779,0.0000,13.1779,12.9676,6.0632,0.0000
10165.433121,13.1569,0.0000,13.1569,12.9536,6.0632,0.0000
10206.756020,13.1358,0.0000,13.1358,12.9325,6.0632,0.0000
10248.078918,13.0727,0.0000,13.0727,12.8975,6.0632,0.0000
10289.401817,13.0377,0.0000,13.0377,12.8765,6.0632,0.0000
10330.724716,12.9536,0.0000,12.9536,12.8204,6.0632,0.0000
10372.047615,12.9045,0.0000,12.9045,12.7713,6.0632,0.0000
10413.370514,12.8765,0.0000,12.8765,12.7433,6.0632,0.0000
10454.693413,12.8484,0.0000,12.8484,12.7293,6.0632,0.0000
10496.016312,12.8204,0.0000,12.8204,12.7153,6.0632,0.0000
10537.339211,12.7994,0.0000,12.7994,12.7012,6.0632,0.0000
10578.662109,12.7713,0.0000,12.7713,12.6732,6.0632,0.0000
10619.985008,12.7433,0.0000,12.7433,12.6522,6.0632,0.0000
10661.307907,12.7153,0.0000,12.7153,12.6311,6.0632,0.0000
10702.630806,12.7012,0.0000,12.7012,12.6171,6.0632,0.0000
10743.953705,12.6662,0.0000,12.6662,12.5821,6.0632,0.0000
10785.276604,12.6311,0.0000,12.6311,12.5540,6.0632,0.0000
10826.599503,12.5961,0.0000,12.5961,12.5190,6.0632,0.0000
10867.922401,12.5330,0.0000,12.5330,12.4629,6.0562,0.0000
10909.245300,12.4839,0.0000,12.4839,12.4209,6.0562,0.0000
10950.568199,12.4559,0.0000,12.4559,12.3928,6.0562,0.0000
10991.891098,12.4138,0.0000,12.4138,12.3508,6.0562,0.0000
11033.213997,12.3998,0.0000,12.3998,12.3437,6.0562,0.0000
11074.536896,12.3718,0.0000,12.3718,12.3157,6.0562,0.0000
11115.859795,12.3157,0.0000,12.3157,12.2596,6.0562,0.0000
11157.182693,12.3017,0.0000,12.3017,12.2526,6.0562,0.0000
11198.505592,12.2737,0.0000,12.2737,12.2246,6.0562,0.0000
11239.828491,12.2526,0.0000,12.2526,12.2036,6.0562,0.0000
11281.151390,12.2246,0.0000,12.2246,12.1755,6.0562,0.0000
11322.474289,12.1825,0.0000,12.1825,12.1475,6.0562,0.0000
